density,density*u,density*v,density*w,energy
1.16028,800.291,-0.000497827,3.8147e-05,510935
1.16002,800.172,-0.00464011,-1.23978e-05,510843
1.16005,800.174,-0.0123558,-2.47955e-05,510844
1.16006,800.177,-0.0166416,-2.38419e-05,510846
1.16007,800.181,-0.0196395,-3.14713e-05,510849
1.16008,800.186,-0.0219323,-1.71661e-05,510853
1.16009,800.193,-0.0236973,-1.43051e-05,510858
1.1601,800.199,-0.0248133,-1.23978e-05,510864
1.16012,800.207,-0.0252093,-1.43051e-05,510869
1.16013,800.214,-0.0248461,2.86102e-06,510875
1.16015,800.222,-0.0238175,4.76837e-06,510882
1.16016,800.231,-0.0224896,2.86102e-06,510888
1.16018,800.239,-0.0210852,9.53674e-06,510894
1.16019,800.246,-0.0194923,1.90735e-06,510900
1.16021,800.253,-0.0177551,1.81198e-05,510905
1.16022,800.259,-0.015965,2.76566e-05,510910
1.16023,800.264,-0.0141034,-1.90735e-06,510914
1.16024,800.27,-0.0122087,-4.76837e-05,510918
1.16025,800.274,-0.0104216,-6.38962e-05,510922
1.16026,800.278,-0.00875712,-5.24521e-05,510925
1.16026,800.281,-0.00721523,-2.38419e-05,510927
1.16027,800.284,-0.00577327,1.33514e-05,510929
1.16027,800.286,-0.0044122,3.71933e-05,510931
1.16027,800.288,-0.00312014,4.673e-05,510932
1.16028,800.289,-0.00185674,4.76837e-05,510933
1.16028,800.29,-0.000610576,4.19617e-05,510934
1.16002,800.177,-0.00517622,-1.81198e-05,510846
1.16005,800.177,-0.0136775,-1.71661e-05,510846
1.16007,800.18,-0.0180991,-2.76566e-05,510848
1.16008,800.184,-0.0211252,-2.00272e-05,510851
1.16009,800.189,-0.0235474,-1.71661e-05,510855
1.1601,800.194,-0.0255239,-1.04904e-05,510860
1.16011,800.2,-0.0269421,0,510864
1.16012,800.207,-0.0275031,6.67572e-06,510870
1.16013,800.214,-0.0272394,6.67572e-06,510875
1.16015,800.221,-0.0263761,9.53674e-06,510881
1.16016,800.229,-0.0250443,8.58307e-06,510887
1.16018,800.237,-0.0234154,6.67572e-06,510893
1.16019,800.244,-0.0216757,9.53674e-06,510899
1.1602,800.251,-0.0198016,2.57492e-05,510904
1.16021,800.257,-0.0178344,4.3869e-05,510909
1.16023,800.263,-0.0157924,1.33514e-05,510913
1.16024,800.268,-0.0136843,-3.05176e-05,510917
1.16024,800.272,-0.0117028,-4.19617e-05,510920
1.16025,800.276,-0.00987954,-4.673e-05,510923
1.16026,800.28,-0.00816183,-2.76566e-05,510926
1.16026,800.282,-0.00654767,-2.86102e-06,510928
1.16027,800.285,-0.00503621,-3.8147e-06,510930
1.16027,800.286,-0.0035857,1.90735e-06,510931
1.16027,800.288,-0.00215413,1.71661e-05,510932
1.16027,800.288,-0.000731103,3.43323e-05,510933
1.16003,800.181,-0.00571111,-2.47955e-05,510850
1.16005,800.181,-0.01488,-2.38419e-05,510849
1.16007,800.183,-0.0194953,-1.90735e-05,510851
1.16008,800.186,-0.0225554,3.8147e-06,510853
1.16009,800.191,-0.0250994,1.14441e-05,510857
1.1601,800.196,-0.0272644,2.86102e-06,510861
1.16011,800.202,-0.0287347,9.53674e-07,510865
1.16012,800.207,-0.0294752,1.90735e-06,510870
1.16013,800.213,-0.0294636,6.67572e-06,510875
1.16015,800.22,-0.0287423,7.62939e-06,510880
1.16016,800.228,-0.0274237,0,510886
1.16017,800.235,-0.0257347,-3.8147e-06,510892
1.16019,800.242,-0.0238741,1.71661e-05,510897
1.1602,800.249,-0.0218251,4.86374e-05,510902
1.16021,800.255,-0.0196718,2.86102e-05,510907
1.16022,800.261,-0.0174569,5.72205e-06,510911
1.16023,800.266,-0.0151695,-8.58307e-06,510915
1.16024,800.27,-0.0130073,-8.58307e-06,510919
1.16025,800.274,-0.0110279,-3.33786e-05,510922
1.16025,800.278,-0.00914649,-4.19617e-05,510924
1.16026,800.281,-0.00735814,-3.33786e-05,510927
1.16026,800.283,-0.00567716,-2.67029e-05,510929
1.16027,800.285,-0.00408155,-3.71933e-05,510930
1.16027,800.286,-0.00246056,-2.19345e-05,510931
1.16027,800.287,-0.000816576,-5.72205e-06,510932
1.16003,800.186,-0.0062123,-2.38419e-05,510853
1.16006,800.185,-0.0160523,-1.90735e-05,510852
1.16008,800.186,-0.020837,-1.71661e-05,510853
1.16009,800.189,-0.02402,1.14441e-05,510856
1.1601,800.193,-0.0266158,1.04904e-05,510859
1.1601,800.198,-0.0287263,9.53674e-07,510863
1.16011,800.203,-0.030286,0,510867
1.16012,800.208,-0.0311939,-9.53674e-07,510871
1.16013,800.213,-0.0313627,6.67572e-06,510875
1.16014,800.219,-0.0308286,1.04904e-05,510880
1.16016,800.226,-0.0296968,-9.53674e-07,510884
1.16017,800.233,-0.028069,-7.62939e-06,510890
1.16018,800.24,-0.0260933,1.43051e-05,510895
1.1602,800.247,-0.0238742,4.1008e-05,510901
1.16021,800.253,-0.0215015,2.47955e-05,510905
1.16022,800.258,-0.0190815,8.58307e-06,510910
1.16023,800.264,-0.0166531,0,510914
1.16024,800.268,-0.0143492,-9.53674e-06,510917
1.16024,800.272,-0.0121758,-2.67029e-05,510920
1.16025,800.276,-0.0101281,-3.8147e-05,510923
1.16026,800.279,-0.00819613,-3.14713e-05,510925
1.16026,800.281,-0.00636601,-2.95639e-05,510927
1.16027,800.283,-0.00462148,-2.09808e-05,510929
1.16027,800.285,-0.00277331,-2.57492e-05,510930
1.16027,800.286,-0.000900311,-1.90735e-05,510931
1.16003,800.19,-0.00669532,1.33514e-05,510857
1.16006,800.189,-0.0172164,-4.76837e-06,510855
1.16008,800.189,-0.0222354,0,510855
1.16009,800.191,-0.0254715,1.71661e-05,510858
1.1601,800.195,-0.0279636,2.47955e-05,510861
1.16011,800.2,-0.0300309,2.57492e-05,510864
1.16012,800.204,-0.0316285,1.90735e-05,510868
1.16012,800.209,-0.032682,1.23978e-05,510871
1.16013,800.214,-0.0330679,1.52588e-05,510875
1.16014,800.219,-0.0326835,1.90735e-05,510879
1.16015,800.225,-0.0317017,1.52588e-05,510884
1.16017,800.231,-0.0302226,8.58307e-06,510889
1.16018,800.238,-0.0282674,1.43051e-05,510894
1.16019,800.245,-0.025946,2.67029e-05,510899
1.1602,800.25,-0.0233609,1.43051e-05,510904
1.16021,800.256,-0.020709,2.86102e-06,510908
1.16022,800.261,-0.0181096,3.8147e-06,510912
1.16023,800.266,-0.0156453,-5.72205e-06,510915
1.16024,800.27,-0.013323,-2.09808e-05,510919
1.16025,800.274,-0.0111395,-2.28882e-05,510921
1.16025,800.277,-0.00907516,-2.09808e-05,510924
1.16026,800.279,-0.00710732,-1.04904e-05,510926
1.16026,800.281,-0.00515877,-2.09808e-05,510928
1.16026,800.283,-0.00309108,-2.95639e-05,510929
1.16027,800.284,-0.00101677,-3.52859e-05,510929
1.16003,800.195,-0.00719597,-9.53674e-07,510860
1.16007,800.193,-0.0184169,-1.14441e-05,510859
1.16008,800.192,-0.0236433,-7.62939e-06,510858
1.1601,800.194,-0.0267996,3.8147e-06,510860
1.1601,800.198,-0.0292069,2.95639e-05,510862
1.16011,800.202,-0.0312206,3.43323e-05,510866
1.16012,800.206,-0.032812,3.52859e-05,510869
1.16013,800.21,-0.0339793,2.95639e-05,510872
1.16013,800.214,-0.0345544,2.76566e-05,510875
1.16014,800.219,-0.034372,1.90735e-05,510879
1.16015,800.224,-0.0335247,1.81198e-05,510883
1.16016,800.23,-0.0322003,1.33514e-05,510888
1.16017,800.236,-0.0303752,5.72205e-06,510892
1.16019,800.242,-0.0279532,1.90735e-06,510897
1.1602,800.248,-0.0251912,-1.90735e-06,510902
1.16021,800.254,-0.0223645,-1.43051e-05,510906
1.16022,800.259,-0.0195827,-8.58307e-06,510910
1.16023,800.263,-0.0169486,-1.52588e-05,510914
1.16024,800.268,-0.0144863,-2.47955e-05,510917
1.16024,800.271,-0.0121819,-1.62125e-05,510920
1.16025,800.275,-0.00997202,-1.71661e-05,510922
1.16025,800.277,-0.00786168,-6.67572e-06,510924
1.16026,800.279,-0.00569817,-5.72205e-06,510926
1.16026,800.281,-0.0034198,-1.62125e-05,510927
1.16026,800.282,-0.00113128,-1.71661e-05,510928
1.16004,800.201,-0.00769585,-4.86374e-05,510864
1.16007,800.197,-0.0195904,-4.95911e-05,510862
1.16009,800.194,-0.0249315,-2.67029e-05,510860
1.1601,800.196,-0.0280466,-9.53674e-07,510862
1.16011,800.2,-0.0303773,2.57492e-05,510864
1.16011,800.203,-0.0323552,3.14713e-05,510867
1.16012,800.207,-0.0339109,3.62396e-05,510870
1.16013,800.211,-0.0350758,3.43323e-05,510873
1.16013,800.215,-0.0358009,2.57492e-05,510876
1.16014,800.219,-0.0358392,1.33514e-05,510879
1.16015,800.223,-0.0352208,9.53674e-06,510883
1.16016,800.228,-0.0339975,-7.62939e-06,510887
1.16017,800.234,-0.0321633,-2.28882e-05,510891
1.16018,800.239,-0.029811,-1.52588e-05,510895
1.16019,800.245,-0.0270379,-1.23978e-05,510900
1.1602,800.251,-0.0240546,-1.71661e-05,510904
1.16021,800.256,-0.0211205,-3.24249e-05,510908
1.16022,800.261,-0.0183013,-3.24249e-05,510912
1.16023,800.265,-0.0156848,-2.67029e-05,510915
1.16024,800.269,-0.0132346,-2.57492e-05,510918
1.16024,800.272,-0.0108591,-1.33514e-05,510920
1.16025,800.275,-0.00854,7.62939e-06,510923
1.16025,800.277,-0.00617987,2.86102e-05,510924
1.16025,800.278,-0.0036954,3.05176e-05,510925
1.16026,800.279,-0.00121367,2.19345e-05,510925
1.16004,800.206,-0.0081548,-8.29697e-05,510868
1.16008,800.202,-0.0206585,-4.29153e-05,510865
1.16009,800.198,-0.0261481,-2.47955e-05,510862
1.1601,800.199,-0.0292578,-1.23978e-05,510864
1.16011,800.202,-0.0315487,7.62939e-06,510866
1.16012,800.205,-0.0334436,2.57492e-05,510868
1.16012,800.209,-0.0349148,2.95639e-05,510871
