t(secs),mass_residual
0.08145,0.995923
0.0816,0.995871
0.08175,0.995822
0.0819,0.995771
0.08205,0.99572
0.0822,0.99567
0.08235,0.995619
0.0825,0.995569
0.08265,0.995519
0.0828,0.995468
0.08295,0.995418
0.0831,0.995368
0.08325,0.995318
0.0834,0.995269
0.08355,0.995221
0.0837,0.995171
0.08385,0.995122
0.084,0.995074
0.08415,0.995025
0.0843,0.994977
0.08445,0.994929
0.0846,0.994882
0.08475,0.994834
0.0849,0.994787
0.08505,0.994741
0.0852,0.994694
0.08535,0.994648
0.0855,0.994603
0.08565,0.994558
0.0858,0.994514
0.08595,0.994469
0.0861,0.994425
0.08625,0.994382
0.0864,0.994338
0.08655,0.994296
0.0867,0.994254
0.08685,0.994212
0.087,0.994171
0.08715,0.99413
0.0873,0.994089
0.08745,0.994051
0.0876,0.994011
0.08775,0.993972
0.0879,0.993934
0.08805,0.993896
0.0882,0.993858
0.08835,0.993822
0.0885,0.993785
0.08865,0.99375
0.0888,0.993715
0.08895,0.993681
0.0891,0.993647
0.08925,0.993614
0.0894,0.993581
0.08955,0.993549
0.0897,0.993518
0.08985,0.993486
0.09,0.993456
0.09015,0.993426
0.0903,0.993397
0.09045,0.993369
0.0906,0.993342
0.09075,0.993314
0.0909,0.993287
0.09105,0.993262
0.0912,0.993236
0.09135,0.993213
0.0915,0.993189
0.09165,0.993165
0.0918,0.993142
0.09195,0.993121
0.0921,0.993099
0.09225,0.993079
0.0924,0.993059
0.09255,0.99304
0.0927,0.993021
0.09285,0.993002
0.093,0.992985
0.09315,0.992968
0.0933,0.992951
0.09345,0.992936
0.0936,0.99292
0.09375,0.992905
0.0939,0.99289
0.09405,0.992876
0.0942,0.992862
0.09435,0.992848
0.0945,0.992835
0.09465,0.992821
0.0948,0.992808
0.09495,0.992795
0.0951,0.992782
0.09525,0.992768
0.0954,0.992754
0.09555,0.99274
0.0957,0.992726
0.09585,0.992712
0.096,0.992696
0.09615,0.99268
0.0963,0.992665
0.09645,0.992648
0.0966,0.99263
0.09675,0.992611
0.0969,0.99259
0.09705,0.992568
0.0972,0.992546
0.09735,0.99252
0.0975,0.992492
0.09765,0.992464
0.0978,0.992432
0.09795,0.992397
0.0981,0.992358
0.09825,0.992315
0.0984,0.992269
0.09855,0.992217
0.0987,0.992159
0.09885,0.992095
0.099,0.992026
0.09915,0.991946
0.0993,0.991859
0.09945,0.991761
0.0996,0.991651
0.09975,0.991529
0.0999,0.991392
0.10005,0.991238
0.1002,0.991067
0.10035,0.990874
0.1005,0.990658
0.10065,0.990416
0.1008,0.990143
0.10095,0.989838
0.1011,0.989495
0.10125,0.989108
0.1014,0.988676
0.10155,0.988188
0.1017,0.987641
0.10185,0.987025
0.102,0.986335
0.10215,0.985558
0.1023,0.984684
0.10245,0.983704
0.1026,0.982604
0.10275,0.981373
0.1029,0.97999
0.10305,0.97844
0.1032,0.976705
0.10335,0.974762
0.1035,0.972592
0.10365,0.97017
0.1038,0.96748
0.10395,0.964504
0.1041,0.961218
0.10425,0.957594
0.1044,0.953616
0.10455,0.949268
0.1047,0.944502
0.10485,0.939293
0.105,0.933628
0.10515,0.927502
0.1053,0.920908
0.10545,0.913834
0.1056,0.906256
0.10575,0.898154
0.1059,0.889523
0.10605,0.880347
0.1062,0.870618
0.10635,0.860307
0.1065,0.849408
0.10665,0.837932
0.1068,0.825859
0.10695,0.813188
0.1071,0.799908
0.10725,0.786028
0.1074,0.77155
0.10755,0.756503
0.1077,0.740919
0.10785,0.72483
0.108,0.70829
0.10815,0.691357
0.1083,0.674093
0.10845,0.656558
0.1086,0.638824
0.10875,0.620962
0.1089,0.603036
0.10905,0.585099
0.1092,0.567168
0.10935,0.549255
0.1095,0.531476
0.10965,0.513937
0.1098,0.49673
0.10995,0.479927
0.1101,0.463588
0.11025,0.447766
0.1104,0.432504
0.11055,0.417838
0.1107,0.40379
0.11085,0.390375
0.111,0.377601
0.11115,0.365473
0.1113,0.353991
0.11145,0.343149
0.1116,0.332936
0.11175,0.323343
0.1119,0.314352
0.11205,0.305945
0.1122,0.298099
0.11235,0.290792
0.1125,0.284003
0.11265,0.277708
0.1128,0.271886
0.11295,0.266514
0.1131,0.261569
0.11325,0.257033
0.1134,0.252887
0.11355,0.249111
